original_text,extracted_url,label,source,filename
"0    https://www.google.com
Name: url, dtype: object",https://www.google.com,0,genuine,benign_0.png
"1    https://www.youtube.com
Name: url, dtype: object",https://www.youtube.com,0,genuine,benign_1.png
"10    https://www.taobao.com
Name: url, dtype: object",https://www.taobao.com,0,genuine,benign_10.png
"100    https://www.google.com.sa
Name: url, dtype: object",https://www.google.com.sa,0,genuine,benign_100.png
"1000    https://www.en.wikipedia.org/wiki/Bill_Foster_...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Bill_Foster_..,0,genuine,benign_1000.png
"10000    https://www.en.wikipedia.org/wiki/South_Africa...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/South_Africa..,0,genuine,benign_10000.png
"10001    https://www.en.wikipedia.org/wiki/South_Africa...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/South_Africa..,0,genuine,benign_10001.png
"10002    https://www.en.wikipedia.org/wiki/South_Africa...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/South_Africa..,0,genuine,benign_10002.png
"10003    https://www.en.wikipedia.org/wiki/South_Asian_...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/South_Asian_..,0,genuine,benign_10003.png
"10004    https://www.en.wikipedia.org/wiki/South_Carolina
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/South_Carolina,0,genuine,benign_10004.png
"10005    https://www.en.wikipedia.org/wiki/South_Street...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/South_Street..,0,genuine,benign_10005.png
"10007    https://www.en.wikipedia.org/wiki/Southwest_Ai...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Southwest_Ai..,0,genuine,benign_10007.png
"10009    https://www.en.wikipedia.org/wiki/Southwest_Ea...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Southwest_Ea..,0,genuine,benign_10009.png
"1001    https://www.en.wikipedia.org/wiki/Bill_Graham_...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Bill_Graham_..,0,genuine,benign_1001.png
"10010    https://www.en.wikipedia.org/wiki/Southwestern...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Southwestern..,0,genuine,benign_10010.png
"10011    https://www.en.wikipedia.org/wiki/Souvenirs_Ga...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Souvenirs_Ga..,0,genuine,benign_10011.png
"10012    https://www.en.wikipedia.org/wiki/Sovereignty
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sovereignty,0,genuine,benign_10012.png
"10013    https://www.en.wikipedia.org/wiki/Soviet_Union
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Soviet_Union,0,genuine,benign_10013.png
"10014    https://www.en.wikipedia.org/wiki/Soviet_coup_...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Soviet_coup_..,0,genuine,benign_10014.png
"10015    https://www.en.wikipedia.org/wiki/Soviet_space...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Soviet_space..,0,genuine,benign_10015.png
"10016    https://www.en.wikipedia.org/wiki/Space_Comman...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Space_Comman..,0,genuine,benign_10016.png
"10017    https://www.en.wikipedia.org/wiki/Spain_Musgrove
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Spain_Musgrove,0,genuine,benign_10017.png
"10018    https://www.en.wikipedia.org/wiki/Speaker_of_t...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Speaker_of_t..,0,genuine,benign_10018.png
"10019    https://www.en.wikipedia.org/wiki/Speechless_(...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Speechless_(..,0,genuine,benign_10019.png
"1002    https://www.en.wikipedia.org/wiki/Bill_Gunn_Dam
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Bill_Gunn_Dam,0,genuine,benign_1002.png
"10020    https://www.en.wikipedia.org/wiki/Spike_Lee
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Spike_Lee,0,genuine,benign_10020.png
"10021    https://www.en.wikipedia.org/wiki/Spine_of_God
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Spine_of_God,0,genuine,benign_10021.png
"10022    https://www.en.wikipedia.org/wiki/Spore_(2008_...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Spore_(2008_..,0,genuine,benign_10022.png
"10023    https://www.en.wikipedia.org/wiki/Sporting_Kan...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sporting_Kan..,0,genuine,benign_10023.png
"10024    https://www.en.wikipedia.org/wiki/Sports4Kids
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sports4Kids,0,genuine,benign_10024.png
"10025    https://www.en.wikipedia.org/wiki/Sports_in_Ka...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sports_in_Ka..,0,genuine,benign_10025.png
"10026    https://www.en.wikipedia.org/wiki/Sports_in_Lo...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sports_in_Lo..,0,genuine,benign_10026.png
"10027    https://www.en.wikipedia.org/wiki/Sprague
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sprague,0,genuine,benign_10027.png
"10028    https://www.en.wikipedia.org/wiki/Sprague_Cleg...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sprague_Cleg..,0,genuine,benign_10028.png
"10029    https://www.en.wikipedia.org/wiki/Spring_Valley
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Spring_Valley,0,genuine,benign_10029.png
"1003    https://www.en.wikipedia.org/wiki/Bill_Haselman
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Bill_Haselman,0,genuine,benign_1003.png
"10030    https://www.en.wikipedia.org/wiki/Sprint_Center
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Sprint_Center,0,genuine,benign_10030.png
"10031    https://www.en.wikipedia.org/wiki/Spry_(surname)
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Spry_(surname,0,genuine,benign_10031.png
"10032    https://www.en.wikipedia.org/wiki/Square-Victo...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Square-Victo..,0,genuine,benign_10032.png
"10033    https://www.en.wikipedia.org/wiki/Squash_at_th...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Squash_at_th..,0,genuine,benign_10033.png
"10034    https://www.en.wikipedia.org/wiki/Squire_Fridell
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Squire_Fridell,0,genuine,benign_10034.png
"10035    https://www.en.wikipedia.org/wiki/St-Bruno
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St-Bruno,0,genuine,benign_10035.png
"10036    https://www.en.wikipedia.org/wiki/St._Amour
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Amour,0,genuine,benign_10036.png
"10037    https://www.en.wikipedia.org/wiki/St._Anne%27s...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Anne%27s..,0,genuine,benign_10037.png
"10038    https://www.en.wikipedia.org/wiki/St._Antoine
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Antoine,0,genuine,benign_10038.png
"10039    https://www.en.wikipedia.org/wiki/St._Boniface...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Boniface..,0,genuine,benign_10039.png
"1004    https://www.en.wikipedia.org/wiki/Bill_Haugland
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Bill_Haugland,0,genuine,benign_1004.png
"10040    https://www.en.wikipedia.org/wiki/St._Charles_...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Charles_..,0,genuine,benign_10040.png
"10041    https://www.en.wikipedia.org/wiki/St._Clair_Co...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Clair_Co..,0,genuine,benign_10041.png
"10042    https://www.en.wikipedia.org/wiki/St._Cronan
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Cronan,0,genuine,benign_10042.png
"10043    https://www.en.wikipedia.org/wiki/St._Elizabet...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Elizabet..,0,genuine,benign_10043.png
"10044    https://www.en.wikipedia.org/wiki/St._George%2...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._George%2..,0,genuine,benign_10044.png
"10045    https://www.en.wikipedia.org/wiki/St._George's...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._George,0,genuine,benign_10045.png
"10046    https://www.en.wikipedia.org/wiki/St._Jacques
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Jacques,0,genuine,benign_10046.png
"10047    https://www.en.wikipedia.org/wiki/St._James%27...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._James%27..,0,genuine,benign_10047.png
"10048    https://www.en.wikipedia.org/wiki/St._James_th...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._James_th..,0,genuine,benign_10048.png
"10049    https://www.en.wikipedia.org/wiki/St._John%27s...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._John%27s..,0,genuine,benign_10049.png
"1005    https://www.en.wikipedia.org/wiki/Bill_Hayes_(...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/Bill_Hayes_(..,0,genuine,benign_1005.png
"10050    https://www.en.wikipedia.org/wiki/St._John_the...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._John_the..,0,genuine,benign_10050.png
"10051    https://www.en.wikipedia.org/wiki/St._Lawrence...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Lawrence..,0,genuine,benign_10051.png
"10052    https://www.en.wikipedia.org/wiki/St._Lawrence...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Lawrence..,0,genuine,benign_10052.png
"10054    https://www.en.wikipedia.org/wiki/St._Leonard_...
Name: url, dtype: object",https://www.en.wikipedia.org/wiki/St._Leonard_..,0,genuine,benign_10054.png
